Stance on NN,Networking,format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18,Network 19,Network 20,Network 21,Network 22,Network 23,Network 24,Network 25,Network 26,Network 27,Network 28,Network 29,Network 30,Network 31,Network 32,Network 33,Network 34,Network 35,Network 36,Network 37,Network 38,Network 39,Network 40,Network 41,Network 42,Network 43,Network 44,Network 45,Network 46,Network 47,Network 48,Network 49,Network 50,Network 51,Network 52,Network 53,Network 54,Network 55,Network 56,Network 57,Network 58,Network 59,Network 60,Network 61,Network 62,Network 63,Network 64,Network 65,Network 66,Network 67,Network 68,Network 69,Network 70,Network 71,Network 72,Network 73,Network 74,Network 75,Network 76,Network 77,Network 78,Network 79,Network 80,Network 81,Network 82,Network 83,Network 84,Network 85,Network 86,Network 87,Network 88,Network 89,Network 90,Network 91,Network 92,Network 93,Network 94,Network 95,Network 96,Network 97,Network 98,Network 99,Network 100,Network 101,Network 102,Network 103,Network 104,Network 105,Network 106,Network 107,Network 108,Network 109,Network 110,Network 111,Network 112,Network 113,Network 114,Network 115,Network 116,Network 117,Network 118,Network 119,Network 120,Network 121,Network 122,Network 123,Network 124,Network 125,Network 126,Network 127,Network 128,Network 129,Network 130,Network 131,Network 132,Network 133,Network 134,Network 135,Network 136,Network 137,Network 138,Network 139,Network 140,Network 141,Network 142,Network 143,Network 144,Network 145,Network 146,Network 147,Network 148,Network 149,Network 150,Network 151,Network 152,Network 153,Network 154,Network 155,Network 156,Network 157,Network 158,Network 159,Network 160,Network 161,Network 162,Network 163,Network 164,Network 165,Network 166,Network 167,Network 168,Network 169,Network 170,Network 171,Network 172,Network 173,Network 174,Network 175,Network 176,Network 177,Network 178,Network 179,Network 180,Network 181,Network 182,Network 183,Network 184,Network 185,Network 186
Pro,Solo,In person,11/30/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/113079588886,Computer & Communications Industry Association (CCIA),Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/113079588886/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,9/9/2017,NOTICE OF EXPARTE,STANDARD,"17-108, 11-42",https://www.fcc.gov/ecfs/search/search-filings/filing/10909288844722,Free Press,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/10909288844722/1,,,Free Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,9/8/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10908825507205,INCOMPAS,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10908825507205/1,,,INCOMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,9/14/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10914272678116,INCOMPAS,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10914272678116/1,,,INCOMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/30/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1130343619492,INCOMPAS,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/1130343619492/1,,,INCOMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,12/4/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/120491212094,INCOMPAS,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/120491212094/1,,,INCOMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,12/6/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/12060300906464,INCOMPAS,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/12060300906464/1,,,INCOMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,9/15/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/109150072706031,Independent Film & Television Alliance,Refer to Attachment(s).,25,https://www.fcc.gov/ecfs/document/109150072706031/1,,9/13/2017,Independent Film & Television Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,9/25/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/109252998830519,Independent Film & Television Alliance,Refer to Attachment(s).,25,https://www.fcc.gov/ecfs/document/109252998830519/1,,9/21/2017,Independent Film & Television Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,5/11/2017,NOTICE OF EXPARTE,STANDARD,"17-108, 14-28, 02-278",https://www.fcc.gov/ecfs/search/search-filings/filing/10511254821623,The Internet Association,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/10511254821623/1,,,Internet Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/13/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/111320165511,Internet Association,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/111320165511/1,,,Internet Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/30/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/113076513617,National Association of Regulatory Utility Commissioners,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/113076513617/1,,11/28/2017,National Association of Regulatory Utility Commissioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/14/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10141023914044,National Hispanic Media Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/10141023914044/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/14/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1014110818606,National Hispanic Media Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/1014110818606/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/14/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1014306734852,National Hispanic Media Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/1014306734852/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/14/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1014572916269,National Hispanic Media Coalition,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/1014572916269/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/23/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1023980520381,National Hispanic Media Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/1023980520381/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/5/2017,NOTICE OF EXPARTE,STANDARD,"17-108, 11-42",https://www.fcc.gov/ecfs/search/search-filings/filing/1060518397640,National Hispanic Media Coalition,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/1060518397640/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/5/2017,NOTICE OF EXPARTE,STANDARD,"17-108, 11-42",https://www.fcc.gov/ecfs/search/search-filings/filing/10605210224929,National Hispanic Media Coalition,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10605210224929/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/16/2017,NOTICE OF EXPARTE,STANDARD,"17-108, 11-42",https://www.fcc.gov/ecfs/search/search-filings/filing/10616393001029,National Hispanic Media Coalition,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10616393001029/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,8/11/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10811200123123,National Hispanic Media Coalition,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10811200123123/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,8/22/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10822057204165,National Hispanic Media Coalition,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10822057204165/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,9/5/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10905069616920,National Hispanic Media Coalition,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/10905069616920/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/1/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/110140206979,National Hispanic Media Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/110140206979/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,12/6/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/12060500109285,National Hispanic Media Coalition,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/12060500109285/1,,,National Hispanic Media Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/3/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/110361479428,Public Knowledge,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/110361479428/1,,,Public Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
