Stance on NN,Networking,Format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18
Pro,Network,Written,7/29/2008,INTENT TO PARITICIPATE IN ORAL ARGUMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515184196,Free Press,Refer to Attachment(s).,27,https://www.fcc.gov/ecfs/document/5515184196/1,,"July 28, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,Information Society Project at Yale Law School,"Charles Nesson, Harvard Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,
Pro,Solo,Comment,4/7/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515021056,Jon Peha,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5515021056/1,,4/4/2008,"Jon Peha, Carnegie Mellon Univ.",,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,Comments,2/25/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994279,Aaron G.,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514994279/1,,Cited in Order,Aaron G.,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,4/16/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515041993,ACLU Washington Legislative Office and ACLU of Northern California,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515041993/1,,,American Civil Liberties Union,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680793,American Homeowners Grassroots Alliance,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514680793/1,,,American Homeowners Grassroots Alliance,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680995,American Library Association,Refer to Attachment(s).,13,https://www.fcc.gov/ecfs/document/5514680995/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680995,American Library Association,Refer to Attachment(s).,13,https://www.fcc.gov/ecfs/document/5514680995/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992180,American Library Association,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992180/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992180,American Library Association,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992180/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681157,Center for Democracy & Technology,Refer to Attachment(s).,17,https://www.fcc.gov/ecfs/document/5514681157/1,,6/15/2007,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992166,Center for Democracy & Technology,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514992166/1,,2/13/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992169,Christopher Soghoian,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5514992169/1,,Cited in Order,Christopher Soghoian,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992174,Christopher Soghoian,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992174/1,,Cited in Order,Christopher Soghoian,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680964,Computer & Communications Industry Association,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5514680964/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680964,Computer & Communications Industry Association,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5514680964/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992132,Computer & Communications Industry Association,Refer to Attachment(s).,7,https://www.fcc.gov/ecfs/document/5514992132/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992132,Computer & Communications Industry Association,Refer to Attachment(s).,7,https://www.fcc.gov/ecfs/document/5514992132/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680765,"Data Foundry, Inc.",Refer to Attachment(s).,25,https://www.fcc.gov/ecfs/document/5514680765/1,,,Data Foundry,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,1/31/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514990138,David Gerisch,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514990138/1,,Comcast customer,David Gerisch,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681186,Google Inc.,Refer to Attachment(s).,47,https://www.fcc.gov/ecfs/document/5514681186/1,,,Google,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,3/17/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515018008,Independent Film and Television Alliance,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515018008/1,,3/14/2008,Independent Film & Television Alliance,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,7/22/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183361,Media Access Project,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515183361/1,,,Media Access Project,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992225,National Assoc of REALTORS,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5514992225/1,,2/13/2008,National Association of Realtors,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680827,National Association of State Utility Consumer Advocates,Refer to Attachment(s).,34,https://www.fcc.gov/ecfs/document/5514680827/1,,,National Association of State Utility Consumer Advocates,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992200,National Association of State Utility Consumer Advocates,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5514992200/1,,,National Association of State Utility Consumer Advocates,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/14/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992465,NATOA,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5514992465/1,,,National Association of Telecommunications Officers & Advisors,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/14/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992466,NATOA,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5514992466/1,,,National Association of Telecommunications Officers & Advisors,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681112,Open Internet Coalition,Refer to Attachment(s).,85,https://www.fcc.gov/ecfs/document/5514681112/1,,,Open Internet Coalition,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992263,Open Internet Coalition,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514992263/1,,,Open Internet Coalition,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/25/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994251,Robert M Topolski,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5514994251/1,,2/25/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/26/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994588,Robert M Topolski,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5514994588/1,,2/26/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/27/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514997313,Robert M Topolski,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514997313/1,,2/27/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/28/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515006318,Robert M Topolski,Refer to Attachment(s).,17,https://www.fcc.gov/ecfs/document/5515006318/1,,2/28/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992288,Vonage Holdings Corp.,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5514992288/1,,2/13/2008,Vonage,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992265,"Vuze, Inc.",Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514992265/1,,2/13/2008,Vuze,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,In person,6/11/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515175551,Audible Magic Corp.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515175551/1,,6/10/2008,Audible Magic Corp.,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,In person,6/13/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515177805,Audible Magic Corp.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515177805/1,,6/12/2008,Audible Magic Corp.,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/4/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515161727,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515161727/1,,6/4/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/5/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515161924,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515161924/1,,6/5/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/13/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515177708,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515177708/1,,6/13/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/17/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515179160,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515179160/1,,6/17/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/15/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514892949,"Data Foundry, Inc.",Refer to Attachment(s).,18,https://www.fcc.gov/ecfs/document/5514892949/1,,,Data Foundry,,,,,,,,,,,,,,,,,
Pro,Solo,In person,3/17/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515017775,Free Press,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515017775/1,,3/13/2008,Free Press,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/23/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515180202,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515180202/1,,6/19/2008,Free Press,,,,,,,,,,,,,,,,,
Pro,Solo,In person,3/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515019356,Media Access Project,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515019356/1,,3/20/2008,Media Access Project,,,,,,,,,,,,,,,,,
Pro,Solo,In person,5/20/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159904,Skype Communications S.A.R.L.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515159904/1,,5/19/2008,Skype,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/14/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514964131,"Vuze, Inc.",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514964131/1,,11/13/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/14/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514964135,"Vuze, Inc.",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514964135/1,,11/14/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/21/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514966725,"Vuze, Inc.",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514966725/1,,11/21/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,4/1/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515020379,"Vuze, Inc.",Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5515020379/1,,3/31/2008,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,4/18/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515043984,"Vuze, Inc.",Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515043984/1,,4/17/2008,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,Petition,11/14/2007,PETITION FOR RULEMAKING,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514964089,"Vuze, Inc.",Refer to Attachment(s).,20,https://www.fcc.gov/ecfs/document/5514964089/1,,11/14/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,7/16/2007,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514708949,Center for Democracy & Technology,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5514708949/1,,7/16/2007,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,2/28/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515005860,Center for Democracy & Technology,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515005860/1,,2/28/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,7/16/2007,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514708811,Computer & Communications Industry Association,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514708811/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,7/16/2007,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514708811,Computer & Communications Industry Association,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514708811/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,2/28/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515005964,Computer & Communications Industry Association,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5515005964/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,2/28/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515005964,Computer & Communications Industry Association,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5515005964/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Reply Comments,7/16/2007,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514709147,"Data Foundry, Inc.",Refer to Attachment(s).,28,https://www.fcc.gov/ecfs/document/5514709147/1,,,Data Foundry,,,,,,,,,,,,,,,,,
